experiment_id,task_id,tier,track,label,score,best_model,best_iid_model,best_ood_model,best_iid_accuracy,best_ood_accuracy
EXP-0.3,C0.1_random_class,C0,classification,NEGATIVE,0.2215,mlp,mlp,,0.31,
EXP-0.3,S0.1_random_labels,S0,sequence,NEGATIVE,0.175,mlp,mlp,,0.0,
EXP-S1,S1.1_reverse,S1,sequence,NEGATIVE,0.2519,lstm,lstm,lstm,0.016,0.0
EXP-S1,S1.2_sort,S1,sequence,NEGATIVE,0.2889,lstm,lstm,lstm,0.31199999999999994,0.0
EXP-S1,S1.3_rotate,S1,sequence,NEGATIVE,0.2502,lstm,lstm,lstm,0.004666666666666667,0.0
EXP-S1,S1.4_count_symbol,S1,sequence,MODERATE,0.6455,lstm,lstm,lstm,0.9913333333333332,0.9081824789719979
EXP-S1,S1.5_parity,S1,sequence,WEAK,0.6241,lstm,lstm,lstm,0.9766666666666666,0.9470270270270269
EXP-S1,S1.6_prefix_sum,S1,sequence,NEGATIVE,0.2501,lstm,lstm,lstm,0.002,0.0
EXP-S1,S1.7_deduplicate,S1,sequence,NEGATIVE,0.2499,mlp,mlp,lstm,0.002666666666666667,0.0
EXP-S1,S1.8_extrema,S1,sequence,INCONCLUSIVE,0.4883,mlp,mlp,mlp,0.8493333333333333,0.6029211139673569
EXP-S2,S2.1_cumulative_xor,S2,sequence,NEGATIVE,0.2816,lstm,lstm,lstm,0.45,0.0
EXP-S2,S2.2_balanced_parens,S2,sequence,WEAK,0.6473,lstm,lstm,lstm,0.9966666666666667,0.989576220364006
EXP-S2,S2.3_running_min,S2,sequence,INCONCLUSIVE,0.3182,lstm,lstm,lstm,0.644,0.0
EXP-S2,S2.5_checksum,S2,sequence,NEGATIVE,0.2866,lstm,lstm,lstm,0.09933333333333334,0.09512223232970218
EXP-S3,S3.1_dedup_sort_count,S3,sequence,NEGATIVE,0.3535,mlp,mlp,mlp,0.3986666666666666,0.24704441805468588
EXP-S3,S3.2_filter_sort_sum,S3,sequence,NEGATIVE,0.3203,lstm,lstm,lstm,0.3466666666666667,0.09687574043239747
EXP-S3,S3.4_rle_encode,S3,sequence,NEGATIVE,0.2497,mlp,mlp,lstm,0.0013333333333333335,0.0
EXP-C1,C1.1_numeric_threshold,C1,classification,STRONG,0.7291,decision_tree,decision_tree,decision_tree,1.0,1.0
EXP-C1,C1.2_range_binning,C1,classification,MODERATE,0.748,decision_tree,decision_tree,decision_tree,1.0,1.0
EXP-C1,C1.3_categorical_match,C1,classification,MODERATE,0.6747,decision_tree,decision_tree,decision_tree,1.0,0.9318518518518518
EXP-C1,C1.5_numeric_comparison,C1,classification,MODERATE,0.7242,logistic_regression,logistic_regression,logistic_regression,0.9977777777777778,0.9915654615446343
EXP-C1,C1.6_modular_class,C1,classification,INCONCLUSIVE,0.6274,random_forest,random_forest,random_forest,0.828888888888889,0.7733333333333334
EXP-C2,C2.1_and_rule,C2,classification,STRONG,0.7248,random_forest,random_forest,decision_tree,1.0,1.0
EXP-C2,C2.2_or_rule,C2,classification,MODERATE,0.6989,decision_tree,decision_tree,decision_tree,0.9992592592592594,0.9459259259259258
EXP-C2,C2.3_nested_if_else,C2,classification,MODERATE,0.7535,decision_tree,decision_tree,random_forest,0.9970370370370369,1.0
EXP-C2,C2.5_k_of_n,C2,classification,MODERATE,0.7113,random_forest,random_forest,gradient_boosted_trees,0.9977777777777778,1.0
EXP-C2,C2.6_categorical_gate,C2,classification,STRONG,0.7271,decision_tree,decision_tree,decision_tree,0.9992592592592594,1.0
EXP-C3,C3.1_xor,C3,classification,MODERATE,0.7219,gradient_boosted_trees,gradient_boosted_trees,random_forest,0.9933333333333334,0.9990338164251208
EXP-C3,C3.3_rank_based,C3,classification,MODERATE,0.7466,logistic_regression,logistic_regression,logistic_regression,0.9933333333333334,0.9898382597799783
EXP-C3,C3.5_interaction_poly,C3,classification,MODERATE,0.7004,random_forest,random_forest,random_forest,0.982,0.9806666666666667
