task_id,track,tier,baseline_label,calibrated_label,baseline_score,calibrated_score,best_model,best_iid_accuracy,best_ood_accuracy,sample_efficiency_score,distractor_robustness_score
C0.1_random_class,classification,C0,NEGATIVE,NEGATIVE,0.2215,0.2215,mlp,0.31,,0.0,0.0
C1.1_numeric_threshold,classification,C1,STRONG,STRONG,0.7291,0.9291,decision_tree,1.0,1.0,1.0,1.0
C1.2_range_binning,classification,C1,MODERATE,MODERATE,0.748,0.748,decision_tree,1.0,1.0,0.0,0.0
C1.3_categorical_match,classification,C1,MODERATE,MODERATE,0.6747,0.6747,decision_tree,1.0,0.9318518518518518,0.0,0.0
C1.5_numeric_comparison,classification,C1,MODERATE,MODERATE,0.7242,0.7242,logistic_regression,0.9977777777777778,0.9915654615446343,0.0,0.0
C1.6_modular_class,classification,C1,INCONCLUSIVE,INCONCLUSIVE,0.6274,0.6274,random_forest,0.828888888888889,0.7733333333333334,0.0,0.0
C2.1_and_rule,classification,C2,STRONG,STRONG,0.7248,0.8248,random_forest,1.0,1.0,0.0,1.0
C2.2_or_rule,classification,C2,MODERATE,MODERATE,0.6989,0.6989,decision_tree,0.9992592592592594,0.9459259259259258,0.0,0.0
C2.3_nested_if_else,classification,C2,MODERATE,MODERATE,0.7535,0.8535,decision_tree,0.9970370370370369,1.0,1.0,0.0
C2.5_k_of_n,classification,C2,MODERATE,MODERATE,0.7113,0.7113,random_forest,0.9977777777777778,1.0,0.0,0.0
C2.6_categorical_gate,classification,C2,STRONG,STRONG,0.7271,0.8266,decision_tree,0.9992592592592594,1.0,0.0,0.9955
C3.1_xor,classification,C3,MODERATE,MODERATE,0.7219,0.7785,gradient_boosted_trees,0.9933333333333334,0.9990338164251208,0.0,0.5659
C3.3_rank_based,classification,C3,MODERATE,MODERATE,0.7466,0.8466,logistic_regression,0.9933333333333334,0.9898382597799783,1.0,0.0
C3.5_interaction_poly,classification,C3,MODERATE,MODERATE,0.7004,0.8001,random_forest,0.982,0.9806666666666667,0.0,0.997
S0.1_random_labels,sequence,S0,NEGATIVE,NEGATIVE,0.175,0.175,mlp,0.0,,0.0,0.0
S1.1_reverse,sequence,S1,NEGATIVE,NEGATIVE,0.2519,0.2519,lstm,0.016,0.0,0.0,0.0
S1.2_sort,sequence,S1,NEGATIVE,NEGATIVE,0.2889,0.2889,lstm,0.31199999999999994,0.0,0.0,0.0
S1.3_rotate,sequence,S1,NEGATIVE,NEGATIVE,0.2502,0.2502,lstm,0.004666666666666667,0.0,0.0,0.0
S1.4_count_symbol,sequence,S1,MODERATE,MODERATE,0.6455,0.7455,lstm,0.9913333333333332,0.9081824789719979,1.0,0.0
S1.5_parity,sequence,S1,WEAK,WEAK,0.6241,0.6241,lstm,0.9766666666666666,0.9470270270270269,0.0,0.0
S1.6_prefix_sum,sequence,S1,NEGATIVE,NEGATIVE,0.2501,0.2501,lstm,0.002,0.0,0.0,0.0
S1.7_deduplicate,sequence,S1,NEGATIVE,NEGATIVE,0.2499,0.2499,mlp,0.002666666666666667,0.0,0.0,0.0
S1.8_extrema,sequence,S1,INCONCLUSIVE,INCONCLUSIVE,0.4883,0.4883,mlp,0.8493333333333333,0.6029211139673569,0.0,0.0
S2.1_cumulative_xor,sequence,S2,NEGATIVE,NEGATIVE,0.2816,0.2816,lstm,0.45,0.0,0.0,0.0
S2.2_balanced_parens,sequence,S2,WEAK,WEAK,0.6473,0.7473,lstm,0.9966666666666667,0.989576220364006,1.0,0.0
S2.3_running_min,sequence,S2,INCONCLUSIVE,INCONCLUSIVE,0.3182,0.3182,lstm,0.644,0.0,0.0,0.0
S2.5_checksum,sequence,S2,NEGATIVE,NEGATIVE,0.2866,0.2866,lstm,0.09933333333333334,0.09512223232970218,0.0,0.0
S3.1_dedup_sort_count,sequence,S3,NEGATIVE,NEGATIVE,0.3535,0.4391,mlp,0.3986666666666666,0.24704441805468588,0.8558,0.0
S3.2_filter_sort_sum,sequence,S3,NEGATIVE,NEGATIVE,0.3203,0.3203,lstm,0.3466666666666667,0.09687574043239747,0.0,0.0
S3.4_rle_encode,sequence,S3,NEGATIVE,NEGATIVE,0.2497,0.2497,mlp,0.0013333333333333335,0.0,0.0,0.0
