task_id,epoch,evaluation_exact_match_mean,evaluation_exact_match_std,train_loss_mean,validation_loss_mean,learning_rate_mean,checkpoint_epoch_mean,best_evaluation_epoch_mean,reported_iid_accuracy_mean
S1.2_sort,1,0.0,0.0,2.004578,1.791544,0.005,15.6,30.4,0.312
S1.2_sort,2,0.0,0.0,1.608153,1.466745,0.005,15.6,30.4,0.312
S1.2_sort,3,0.008,0.006864,1.272939,1.182783,0.005,15.6,30.4,0.312
S1.2_sort,4,0.039333,0.010625,0.98033,0.988877,0.005,15.6,30.4,0.312
S1.2_sort,5,0.065333,0.004522,0.786065,0.881843,0.005,15.6,30.4,0.312
S1.2_sort,6,0.092,0.017205,0.629376,0.74809,0.005,15.6,30.4,0.312
S1.2_sort,7,0.130667,0.003266,0.512573,0.666153,0.005,15.6,30.4,0.312
S1.2_sort,8,0.169334,0.015114,0.426331,0.62409,0.005,15.6,30.4,0.312
S1.2_sort,9,0.193333,0.015348,0.366738,0.592716,0.005,15.6,30.4,0.312
S1.2_sort,10,0.21,0.02319,0.313287,0.586363,0.005,15.6,30.4,0.312
S1.2_sort,11,0.231333,0.01668,0.27529,0.589621,0.005,15.6,30.4,0.312
S1.2_sort,12,0.244,0.04276,0.238929,0.584498,0.005,15.6,30.4,0.312
S1.2_sort,13,0.265333,0.012754,0.209831,0.564901,0.005,15.6,30.4,0.312
S1.2_sort,14,0.277334,0.04489,0.183507,0.547986,0.005,15.6,30.4,0.312
S1.2_sort,15,0.272667,0.043482,0.158181,0.588936,0.005,15.6,30.4,0.312
S1.2_sort,16,0.28,0.028597,0.15691,0.609358,0.005,15.6,30.4,0.312
S1.2_sort,17,0.304,0.033426,0.139249,0.601967,0.005,15.6,30.4,0.312
S1.2_sort,18,0.32,0.030912,0.115091,0.575079,0.005,15.6,30.4,0.312
S1.2_sort,19,0.321333,0.030521,0.099304,0.562857,0.005,15.6,30.4,0.312
S1.2_sort,20,0.344667,0.029105,0.081739,0.621908,0.005,15.6,30.4,0.312
S1.2_sort,21,0.328667,0.031875,0.067556,0.620425,0.005,15.6,30.4,0.312
S1.2_sort,22,0.356667,0.021082,0.058234,0.58067,0.005,15.6,30.4,0.312
S1.2_sort,23,0.358667,0.030229,0.046857,0.573129,0.005,15.6,30.4,0.312
S1.2_sort,24,0.354667,0.045392,0.035425,0.615784,0.005,15.6,30.4,0.312
S1.2_sort,25,0.372667,0.024349,0.02845,0.596054,0.005,15.6,30.4,0.312
S1.2_sort,26,0.383333,0.024495,0.023173,0.590963,0.005,15.6,30.4,0.312
S1.2_sort,27,0.383333,0.028752,0.017829,0.624497,0.005,15.6,30.4,0.312
S1.2_sort,28,0.394,0.023324,0.014033,0.615137,0.005,15.6,30.4,0.312
S1.2_sort,29,0.392667,0.029318,0.010642,0.61462,0.005,15.6,30.4,0.312
